determined_at,type,special_key,meta_key,target.target_id,masked_key,gid,target.target_type,shift_key,control_key
13302,KEY_DOWN,,,50257e57-1da3-4002-aa7d-6d8f0ed9a74a,7827.0,55234539,text,,
13372,KEY_UP,,,50257e57-1da3-4002-aa7d-6d8f0ed9a74a,7827.0,55234539,text,,
13434,KEY_DOWN,,,50257e57-1da3-4002-aa7d-6d8f0ed9a74a,520.0,55234539,text,,
13568,KEY_UP,,,50257e57-1da3-4002-aa7d-6d8f0ed9a74a,520.0,55234539,text,,
13820,KEY_DOWN,,,50257e57-1da3-4002-aa7d-6d8f0ed9a74a,7827.0,55234539,text,,
13868,KEY_UP,,,50257e57-1da3-4002-aa7d-6d8f0ed9a74a,7827.0,55234539,text,,
13997,KEY_DOWN,,,50257e57-1da3-4002-aa7d-6d8f0ed9a74a,7912.0,55234539,text,,
14089,KEY_DOWN,,,50257e57-1da3-4002-aa7d-6d8f0ed9a74a,113.0,55234539,text,,
14136,KEY_UP,,,50257e57-1da3-4002-aa7d-6d8f0ed9a74a,7912.0,55234539,text,,
14162,KEY_UP,,,50257e57-1da3-4002-aa7d-6d8f0ed9a74a,113.0,55234539,text,,
14339,KEY_DOWN,,,50257e57-1da3-4002-aa7d-6d8f0ed9a74a,660.0,55234539,text,,
14432,KEY_UP,,,50257e57-1da3-4002-aa7d-6d8f0ed9a74a,660.0,55234539,text,,
15130,KEY_DOWN,Tab,,50257e57-1da3-4002-aa7d-6d8f0ed9a74a,,55234539,text,,
15263,KEY_UP,Tab,,422b781b-729a-4769-9302-ff55b4a81626,,55234539,text,,
15650,KEY_DOWN,,,422b781b-729a-4769-9302-ff55b4a81626,1048.0,55234539,text,,
15677,KEY_UP,,,422b781b-729a-4769-9302-ff55b4a81626,1048.0,55234539,text,,
16362,KEY_DOWN,Backspace,,422b781b-729a-4769-9302-ff55b4a81626,,55234539,text,,
16496,KEY_UP,Backspace,,422b781b-729a-4769-9302-ff55b4a81626,,55234539,text,,
18433,KEY_DOWN,,,422b781b-729a-4769-9302-ff55b4a81626,7889.0,55234539,text,,
18589,KEY_UP,,,422b781b-729a-4769-9302-ff55b4a81626,7889.0,55234539,text,,
18761,KEY_DOWN,,,422b781b-729a-4769-9302-ff55b4a81626,1064.0,55234539,text,,
18874,KEY_UP,,,422b781b-729a-4769-9302-ff55b4a81626,1064.0,55234539,text,,
18968,KEY_DOWN,,,422b781b-729a-4769-9302-ff55b4a81626,78.0,55234539,text,,
19081,KEY_UP,,,422b781b-729a-4769-9302-ff55b4a81626,78.0,55234539,text,,
19514,KEY_DOWN,,,422b781b-729a-4769-9302-ff55b4a81626,120.0,55234539,text,,
19629,KEY_UP,,,422b781b-729a-4769-9302-ff55b4a81626,120.0,55234539,text,,
19878,KEY_DOWN,,,422b781b-729a-4769-9302-ff55b4a81626,529.0,55234539,text,,
20036,KEY_UP,,,422b781b-729a-4769-9302-ff55b4a81626,529.0,55234539,text,,
20098,KEY_DOWN,Shift,,422b781b-729a-4769-9302-ff55b4a81626,,55234539,text,True,
20460,KEY_DOWN,,,422b781b-729a-4769-9302-ff55b4a81626,109.0,55234539,text,True,
20527,KEY_UP,,,422b781b-729a-4769-9302-ff55b4a81626,109.0,55234539,text,True,
20567,KEY_UP,Shift,,422b781b-729a-4769-9302-ff55b4a81626,,55234539,text,,
20662,KEY_DOWN,,,422b781b-729a-4769-9302-ff55b4a81626,7796.0,55234539,text,,
20797,KEY_UP,,,422b781b-729a-4769-9302-ff55b4a81626,7796.0,55234539,text,,
20807,KEY_DOWN,,,422b781b-729a-4769-9302-ff55b4a81626,506.0,55234539,text,,
20898,KEY_DOWN,,,422b781b-729a-4769-9302-ff55b4a81626,76.0,55234539,text,,
20946,KEY_UP,,,422b781b-729a-4769-9302-ff55b4a81626,506.0,55234539,text,,
21037,KEY_UP,,,422b781b-729a-4769-9302-ff55b4a81626,76.0,55234539,text,,
21394,KEY_DOWN,,,422b781b-729a-4769-9302-ff55b4a81626,1048.0,55234539,text,,
21549,KEY_UP,,,422b781b-729a-4769-9302-ff55b4a81626,1048.0,55234539,text,,
21635,KEY_DOWN,,,422b781b-729a-4769-9302-ff55b4a81626,558.0,55234539,text,,
21726,KEY_UP,,,422b781b-729a-4769-9302-ff55b4a81626,558.0,55234539,text,,
21735,KEY_DOWN,,,422b781b-729a-4769-9302-ff55b4a81626,1073.0,55234539,text,,
21804,KEY_UP,,,422b781b-729a-4769-9302-ff55b4a81626,1073.0,55234539,text,,
21896,KEY_DOWN,,,422b781b-729a-4769-9302-ff55b4a81626,420.0,55234539,text,,
21963,KEY_UP,,,422b781b-729a-4769-9302-ff55b4a81626,420.0,55234539,text,,
22097,KEY_DOWN,,,422b781b-729a-4769-9302-ff55b4a81626,529.0,55234539,text,,
22187,KEY_UP,,,422b781b-729a-4769-9302-ff55b4a81626,529.0,55234539,text,,
22205,KEY_DOWN,Shift,,422b781b-729a-4769-9302-ff55b4a81626,,55234539,text,True,
22344,KEY_DOWN,,,422b781b-729a-4769-9302-ff55b4a81626,7812.0,55234539,text,True,
22433,KEY_UP,Shift,,422b781b-729a-4769-9302-ff55b4a81626,,55234539,text,,
22527,KEY_UP,,,422b781b-729a-4769-9302-ff55b4a81626,7796.0,55234539,text,,
23688,KEY_DOWN,,,422b781b-729a-4769-9302-ff55b4a81626,83.0,55234539,text,,
